1990.00 mf                                                                       
   14 -4    1990.00
 -0.297701523438E+05 -0.185592651367E+04  0.540417333984E+04 -0.214401391602E+04
  0.305373461914E+04 -0.228029174805E+04  0.168942260742E+04 -0.377748260498E+03
  0.131358728027E+04 -0.223500170898E+04 -0.281549346924E+03  0.124546533203E+04
  0.298419067383E+03  0.801320800781E+03 -0.351387969971E+03  0.941662475586E+03
  0.781551635742E+03  0.243690979004E+03  0.325014587402E+03 -0.243544494629E+03
 -0.420140563965E+03  0.829992218018E+02  0.139263992310E+03 -0.302279754639E+03
 -0.215424102783E+03  0.348183929443E+03  0.485530433655E+02  0.245479705811E+03
  0.158011093140E+03 -0.111717178345E+03 -0.151981704712E+03 -0.166468215942E+03
 -0.675451507568E+02 -0.402792778015E+02  0.988872299194E+02  0.625321273804E+02
  0.657393798828E+02 -0.118995828629E+02  0.608205947876E+02  0.803758697510E+02
 -0.175094940186E+03  0.692872314453E+02  0.403299236298E+01 -0.500166740417E+02
  0.197177162170E+02  0.319894027710E+01 -0.950079269409E+02  0.240427856445E+02
  0.748168334961E+02 -0.662650070190E+02 -0.857622146606E+02  0.429443931580E+01
 -0.263245887756E+02  0.242785072327E+02  0.173612856865E+01 -0.177917480469E+01
  0.208715343475E+02  0.586626958847E+01  0.154948339462E+02  0.950057315826E+01
 -0.224752788544E+02 -0.146755528450E+01 -0.316428422928E+01  0.229065971375E+02
  0.592468643188E+01  0.108159990311E+02 -0.244930431247E+00 -0.185410728455E+02
 -0.103079214096E+02  0.447740650177E+01 -0.111798648834E+02 -0.221164093018E+02
  0.587955284119E+01  0.120871467590E+02  0.435497617722E+01  0.123266448975E+02
  0.204914116859E+01 -0.152316684723E+02 -0.676076030731E+01 -0.124081745148E+02
  0.469518375397E+01  0.102700891495E+02 -0.214496955872E+02  0.137810921669E+01
  0.148435058594E+02 -0.130457820892E+02  0.109307374954E+02  0.104325008392E+02
 -0.570499181747E+01 -0.664392328262E+01 -0.750290441513E+01 -0.179324924946E+01
  0.901658248901E+01  0.960659980774E+01  0.829422760010E+01  0.288042116165E+01
 -0.716106605530E+01 -0.534185647964E+01  0.130102705956E+01 -0.208418178558E+01
 -0.484692478180E+01  0.198507308960E+01  0.206792521477E+01  0.157699191570E+01
 -0.415570402145E+01  0.298319911957E+01 -0.224148201942E+01  0.594128131866E+01
  0.477203750610E+01 -0.431125211716E+01  0.272475123405E+01 -0.128557991982E+01
  0.658008217812E+00 -0.179484438896E+01  0.153158235550E+01  0.399679684639E+01
  0.229834985733E+01 -0.163203477859E-01 -0.101382350922E+01 -0.709682559967E+01
  0.248810720444E+01 -0.195074808598E+01  0.178805276752E+00 -0.150769710541E+01
  0.191664314270E+01  0.222956514359E+01 -0.188510298729E+01 -0.368518009782E-01
 -0.270099616051E+01  0.263199806213E+00  0.956207752228E+00 -0.103241264820E+01
 -0.120391654968E+01  0.798996686935E+00 -0.188541853428E+01  0.193409764767E+01
 -0.807158231735E+00 -0.939712822437E+00 -0.221118712425E+01  0.983569264412E+00
 -0.257351350784E+01  0.391661357880E+01  0.167896449566E+00 -0.904396593571E+00
 -0.218322724104E+00  0.947732329369E-01 -0.530027866364E+00  0.686788499355E+00
  0.229024276137E+00  0.177958250046E+01  0.509513437748E+00 -0.105203330517E+01
 -0.189126860350E-01 -0.381492190063E-01 -0.451743990183E+00  0.160232380033E+00
 -0.936849534512E+00 -0.438769191504E+00 -0.630614534020E-01 -0.680331140757E-01
  0.295200407505E+00  0.480351120234E+00  0.584624648094E+00 -0.116931939125E+01
 -0.348643399775E-01  0.150005131960E+00  0.392102822661E-01  0.773910403252E+00
  0.185263723135E+00 -0.176453441381E+00 -0.196455776691E+00  0.879687219858E-01
  0.144519522786E+00 -0.231486469507E+00  0.326647281647E+00 -0.115316286683E+00
  0.119393676519E+00  0.210496991873E+00 -0.147204011679E+00 -0.210555613041E+00
 -0.223456010222E+00 -0.135720083490E-01  0.295800133608E-02 -0.140567421913E+00
  0.219867751002E-01  0.743947848678E-01  0.299708902836E+00 -0.637125372887E-01
  0.235413417220E+00  0.350726842880E+00  0.497656226158E+00  0.306379050016E-01
 -0.140522554517E+00  0.518404468894E-01 -0.796724185348E-01  0.351640507579E-01
  0.173567153979E-02  0.731403231621E-01 -0.403031259775E-01 -0.116108827293E+00
 -0.603462010622E-01 -0.424700230360E-01 -0.677396506071E-01  0.491538271308E-01
  0.114274039865E+00 -0.516492649913E-01 -0.321819521487E-01  0.639222785830E-01
  0.281037073582E-01  0.777667015791E-02  0.269544636831E-02  0.648719742894E-01
  0.134832132608E-01  0.337456353009E-01  0.139955375344E-01  0.117564368993E-01
 -0.300075002015E-01  0.623023603112E-02 -0.942794382572E-01  0.424439013004E-01
  0.120496656746E-01  0.100023448467E+00  0.279724015854E-02  0.508410707116E-01
